distance,time_of_day,weather,traffic_level,travel_time
6.24,evening,rain,medium,11.23
14.31,night,clear,high,32.2
11.25,evening,clear,low,13.5
9.38,night,clear,high,21.1
3.18,night,clear,medium,4.77
3.18,evening,rain,medium,5.72
1.81,afternoon,rain,low,2.61
13.13,night,rain,low,18.91
9.42,evening,rain,high,25.43
10.91,morning,clear,high,24.55
1.29,evening,fog,low,2.01
14.58,morning,rain,high,39.37
12.65,night,rain,medium,22.77
3.97,evening,clear,medium,5.96
3.55,evening,clear,low,4.26
3.57,morning,clear,high,8.03
5.26,evening,clear,medium,7.89
8.35,evening,fog,low,13.03
7.05,night,fog,high,20.62
5.08,evening,rain,medium,9.14
9.57,afternoon,fog,high,27.99
2.95,morning,rain,high,7.97
5.09,evening,rain,high,13.74
6.13,morning,fog,low,9.56
7.38,morning,rain,medium,13.28
11.99,morning,clear,low,14.39
3.8,evening,rain,medium,6.84
8.2,evening,clear,medium,12.3
9.29,morning,fog,low,14.49
1.65,afternoon,fog,low,2.57
9.51,morning,rain,medium,17.12
3.39,afternoon,clear,medium,5.08
1.91,morning,rain,medium,3.44
14.28,night,fog,high,41.77
14.52,morning,rain,medium,26.14
12.32,morning,rain,low,17.74
5.26,evening,clear,low,6.31
2.37,afternoon,fog,low,3.7
10.58,night,rain,medium,19.04
7.16,afternoon,clear,medium,10.74
2.71,night,rain,high,7.32
7.93,morning,clear,high,17.84
1.48,evening,clear,low,1.78
13.73,evening,rain,high,37.07
4.62,afternoon,fog,high,13.51
10.28,evening,fog,low,16.04
5.36,afternoon,clear,medium,8.04
8.28,afternoon,fog,high,24.22
8.65,night,clear,medium,12.98
3.59,afternoon,fog,low,5.6
14.57,night,rain,low,20.98
11.85,evening,fog,high,34.66
14.15,afternoon,clear,low,16.98
13.53,afternoon,clear,low,16.24
9.37,morning,fog,low,14.62
13.91,afternoon,rain,high,37.56
2.24,afternoon,clear,high,5.04
3.74,morning,clear,high,8.42
1.63,morning,clear,low,1.96
5.55,evening,clear,medium,8.32
6.44,afternoon,clear,low,7.73
4.8,evening,rain,high,12.96
12.6,evening,fog,medium,24.57
5.99,morning,rain,medium,10.78
4.93,night,rain,high,13.31
8.6,evening,clear,medium,12.9
2.97,night,rain,medium,5.35
12.23,afternoon,clear,high,27.52
2.04,morning,rain,medium,3.67
14.82,afternoon,clear,medium,22.23
11.81,afternoon,clear,high,26.57
3.78,morning,rain,medium,6.8
1.08,afternoon,rain,medium,1.94
12.42,morning,fog,medium,24.22
10.9,night,fog,medium,21.26
11.21,afternoon,fog,high,32.79
11.8,morning,rain,low,16.99
2.04,evening,rain,low,2.94
6.02,afternoon,clear,medium,9.03
2.62,night,fog,high,7.66
13.08,morning,clear,high,29.43
9.73,afternoon,clear,medium,14.6
5.63,afternoon,clear,low,6.76
1.89,afternoon,clear,medium,2.84
5.35,night,fog,high,15.65
5.55,morning,clear,high,12.49
11.21,evening,rain,low,16.14
9.93,evening,rain,high,26.81
13.42,evening,rain,high,36.23
7.61,morning,fog,high,22.26
2.67,evening,clear,low,3.2
10.99,night,fog,high,32.15
11.65,morning,clear,medium,17.48
8.86,afternoon,fog,low,13.82
11.79,night,fog,medium,22.99
7.91,afternoon,clear,medium,11.86
8.32,evening,fog,low,12.98
6.99,night,clear,medium,10.49
1.36,morning,rain,low,1.96
2.51,night,rain,medium,4.52
1.44,afternoon,rain,low,2.07
9.91,morning,fog,high,28.99
5.4,night,rain,high,14.58
8.12,night,clear,medium,12.18
13.71,night,rain,high,37.02
4.49,night,rain,low,6.47
6.75,morning,fog,medium,13.16
11.58,afternoon,clear,high,26.05
4.2,night,fog,high,12.29
2.08,morning,fog,medium,4.06
5.06,afternoon,clear,high,11.38
3.26,night,fog,high,9.54
14.02,afternoon,clear,medium,21.03
12.31,afternoon,rain,high,33.24
9.87,morning,clear,high,22.21
